Parte;Alimentos
desayuno;PRODUCTOS LÁCTEOS Y SIMILARES
desayuno;CEREALES GRANOS SECOS, CEREALES DE DESAYUNO Y OTRAS HARINAS/GALLETAS, PANES, TORTILLAS Y SIMILARES/HUEVOS/EMBUTIDOS Y SIMILARES
desayuno;FRUTAS Y JUGOS DE FRUTAS
almuerzo;LEGUMINOSAS, GRANOS SECOS Y DERIVADOS/VERDURAS, HORTALIZAS Y OTROS VEGETALES
almuerzo;PASTAS Y OTRAS HARINAS
almuerzo;CARNE DE CERDO/CARNE DE VACUNO/CARNE DE ANIMALES DE CAZA/MARISCOS Y PESCADOS/CARNE DE AVES/EMBUTIDOS Y SIMILARES
comida;ADEREZOS, SALSAS Y SOPAS
comida;MARISCOS Y PESCADOS/CARNE DE AVES
