Alimento;Protein;Carbohidrates;Fat
PRODUCTOS LÁCTEOS Y SIMILARES;3.9;4.9;0.2
GALLETAS, PANES, TORTILLAS Y SIMILARES;7.08;69;19
FRUTAS Y JUGOS DE FRUTAS;0.3;14;0.2
LEGUMINOSAS, GRANOS SECOS Y DERIVADOS;6.9;11.3;1.16
VERDURAS, HORTALIZAS Y OTROS VEGETALES;2.34;14.8;0.11
CARNE DE AVES;31;0;3.4
CARNE DE VACUNO;25;0;6.2
MARISCOS Y PESCADOS;16;0;6
HUEVOS;12;0.7;10
ADEREZOS, SALSAS Y SOPAS;0.8;22.5;0.2
PASTAS Y OTRAS HARINAS;18.65;79;18.15
